date,close,open,high,low,volume
2019/8/30,1529.4,1536.9,1541.9,1525.6,330.85K
2019/9/3,1555.9,1535.2,1558.9,1528,554.83K
2019/9/4,1560.4,1556,1566.2,1542.6,412.35K
2019/9/5,1525.5,1561.4,1561.9,1514.3,606.40K
2019/9/6,1515.5,1525.6,1536.2,1510.7,544.87K
2019/9/9,1511.1,1516.4,1523.8,1505.5,317.52K
2019/9/10,1499.2,1507,1509.1,1492.1,397.92K
2019/9/11,1503.2,1493.9,1506.2,1492.9,308.79K
2019/9/12,1507.4,1504.9,1532.2,1496.8,491.47K
2019/9/13,1499.5,1506.5,1516.6,1493.1,364.42K
2019/9/16,1511.5,1513.1,1519.7,1503.4,349.61K
2019/9/17,1513.4,1506.5,1515,1500.9,336.63K
2019/9/18,1515.8,1509.7,1519.5,1490.7,364.96K
2019/9/19,1506.2,1502,1512.1,1496.3,291.30K
2019/9/20,1515.1,1506.8,1524.5,1505.3,284.39K
2019/9/23,1531.5,1521.5,1534.4,1517.9,359.88K
2019/9/24,1540.2,1529.8,1543.3,1522.8,424.86K
2019/9/25,1512.3,1539.8,1542.8,1507.4,481.46K
2019/9/26,1515.2,1510.9,1519.5,1507.1,378.29K
2019/9/27,1513.1,1518.2,1520.5,1500.5,12.37K
2019/9/30,1479.6,1509.5,1513.1,1477.1,14.29K
2019/10/1,1495.7,1485.8,1500,1471.8,9.66K
2019/10/2,1514.5,1493.6,1517.7,1487.5,8.89K
2019/10/3,1520.5,1512.3,1532.4,1509.2,5.02K
2019/10/4,1519.7,1518,1527.9,1508.2,10.99K
2019/10/7,1511.2,1524.2,1524.2,1500.2,7.25K
2019/10/8,1510.7,1506,1522,1500.8,4.44K
2019/10/9,1519.6,1517.5,1524,1512,4.53K
2019/10/10,1507.7,1516.8,1529,1503,5.02K
2019/10/11,1495.5,1505.5,1514.6,1484.9,8.89K
2019/10/14,1504.4,1499.2,1508.3,1494.1,6.09K
2019/10/15,1490.3,1503,1509.2,1487.9,2.92K
2019/10/16,1500.8,1491.4,1501.8,1487.4,15.13K
2019/10/17,1505.2,1500.8,1507.8,1494.6,4.18K
2019/10/18,1501,1502,1504.1,1495.3,5.96K
2019/10/21,1495,1502,1505.3,1491.8,9.40K
